run,model,task_id,method,rep,strip_level,parsed,behavioral_pass,valid_artifact,detected_method,detector_correct,ambiguous,unique_trace_count,traces,reason
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,deterministic,1,raw,true,false,false,ambiguous,false,true,0,[],execution_failed: '<' not supported between instances of 'NoneType' and 'NoneType'
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,deterministic,1,no_comments,true,false,false,ambiguous,false,true,0,[],execution_failed: '<' not supported between instances of 'NoneType' and 'NoneType'
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,deterministic,1,renamed,true,false,false,ambiguous,false,true,0,[],execution_failed: '<' not supported between instances of 'NoneType' and 'NoneType'
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,deterministic,1,no_imports,true,false,false,ambiguous,false,true,0,[],execution_failed: '<' not supported between instances of 'NoneType' and 'NoneType'
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,deterministic,1,format_normalized,true,false,false,ambiguous,false,true,0,[],execution_failed: '<' not supported between instances of 'NoneType' and 'NoneType'
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,deterministic,2,raw,true,false,false,ambiguous,false,true,0,[],execution_failed: '<' not supported between instances of 'NoneType' and 'NoneType'
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,deterministic,2,no_comments,true,false,false,ambiguous,false,true,0,[],execution_failed: '<' not supported between instances of 'NoneType' and 'NoneType'
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,deterministic,2,renamed,true,false,false,ambiguous,false,true,0,[],execution_failed: '<' not supported between instances of 'NoneType' and 'NoneType'
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,deterministic,2,no_imports,true,false,false,ambiguous,false,true,0,[],execution_failed: '<' not supported between instances of 'NoneType' and 'NoneType'
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,deterministic,2,format_normalized,true,false,false,ambiguous,false,true,0,[],execution_failed: '<' not supported between instances of 'NoneType' and 'NoneType'
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,deterministic,3,raw,true,false,false,ambiguous,false,true,0,[],execution_failed: '<' not supported between instances of 'NoneType' and 'NoneType'
core_v2_deterministic_randomized_pilot_local_001,ollama__devstral__latest,letters_8,deterministic,3,no_comments,true,false,false,ambiguous,false,true,0,[],execution_failed: '<' not supported between instances of 'NoneType' and 'NoneType'
